Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	155.497	32.070	2.243	1.09e-148
AACS	ENSG00000081760.16	9.200	27.210	-1.468	8.27e-68
AAED1	ENSG00000158122.11	5.180	2.070	1.009	4.51e-121
AAMDC	ENSG00000087884.14	48.070	12.580	1.853	7.90e-206
AAR2	ENSG00000131043.11	26.041	8.130	1.566	6.11e-215
AASS	ENSG00000008311.14	12.155	3.980	1.401	1.79e-72
AATF	ENSG00000275700.4	43.265	13.440	1.616	4.06e-196
AATK	ENSG00000181409.11	27.269	62.599	-1.170	1.31e-31
ABCA1	ENSG00000165029.15	13.989	1.250	2.736	1.64e-179
ABCA10	ENSG00000154263.17	0.240	2.440	-1.472	9.48e-172
ABCA5	ENSG00000154265.15	2.065	12.290	-2.116	2.99e-96
ABCA7	ENSG00000064687.12	3.580	14.420	-1.751	1.19e-95
ABCA9	ENSG00000154258.16	0.615	2.700	-1.196	5.86e-114
ABCB7	ENSG00000131269.15	12.245	4.180	1.354	1.07e-157
ABCB9	ENSG00000150967.17	6.205	15.030	-1.154	3.91e-53
ABCC12	ENSG00000140798.15	0.060	2.630	-1.776	4.06e-155
ABCC4	ENSG00000125257.13	4.790	0.670	1.794	5.28e-163
ABCC6P2	ENSG00000255277.3	1.905	0.320	1.138	1.34e-90
ABCC8	ENSG00000006071.11	19.315	54.799	-1.458	4.99e-27
ABCD1	ENSG00000101986.11	5.640	1.820	1.236	9.58e-128
ABCD3	ENSG00000117528.11	28.046	9.720	1.438	1.73e-138
ABCE1	ENSG00000164163.10	24.880	10.020	1.232	2.97e-102
ABCF1	ENSG00000204574.12	42.449	16.800	1.287	1.93e-144
ABCG1	ENSG00000160179.18	19.155	4.530	1.866	2.45e-137
ABCG2	ENSG00000118777.10	18.850	7.200	1.275	2.31e-81
ABCG4	ENSG00000172350.9	0.640	9.220	-2.640	1.02e-133
ABHD12B	ENSG00000131969.14	0.970	7.250	-2.066	6.39e-128
ABHD2	ENSG00000140526.16	27.680	12.210	1.118	4.55e-53
ABHD4	ENSG00000100439.10	43.205	7.260	2.420	3.97e-211
ABHD5	ENSG00000011198.7	13.720	3.690	1.650	3.23e-155
ABHD6	ENSG00000163686.13	29.990	14.480	1.001	7.81e-70
ABHD8	ENSG00000127220.5	18.085	75.750	-2.008	1.59e-103
ABI1	ENSG00000136754.16	53.584	22.290	1.229	9.77e-88
ABI3	ENSG00000108798.8	9.025	1.190	2.195	7.45e-108
ABI3BP	ENSG00000154175.16	15.910	1.120	2.996	3.94e-116
ABL1	ENSG00000097007.17	40.985	12.660	1.620	1.12e-150
ABLIM2	ENSG00000163995.18	8.115	53.820	-2.588	4.15e-110
ABTB1	ENSG00000114626.17	15.620	62.189	-1.927	1.75e-106
AC000041.10	ENSG00000274457.1	0.000	17.730	-4.227	1.50e-62
AC000089.3	ENSG00000235776.2	2.365	0.120	1.587	2.23e-208
AC000095.11	ENSG00000273164.1	0.910	6.110	-1.896	7.00e-110
AC002116.8	ENSG00000248101.2	0.535	2.190	-1.055	1.19e-64
AC004057.1	ENSG00000196656.7	508.568	201.536	1.331	1.78e-58
AC004540.4	ENSG00000225792.1	44.515	2.730	3.609	1.83e-94
AC004540.5	ENSG00000214870.8	9.385	2.730	1.477	2.74e-55
AC004854.4	ENSG00000234183.1	1.120	0.000	1.084	8.87e-31
AC005255.3	ENSG00000256210.3	4.740	0.000	2.521	5.10e-152
AC005329.7	ENSG00000248015.6	3.040	0.910	1.081	2.75e-59
AC005339.2	ENSG00000268565.1	1.940	12.070	-2.152	6.58e-103
AC005562.1	ENSG00000214719.11	9.040	2.040	1.724	7.55e-179
AC005943.2	ENSG00000267059.2	8.320	0.350	2.787	1.77e-50
AC005944.2	ENSG00000267469.1	26.610	89.859	-1.718	2.66e-68
AC006466.5	ENSG00000232887.1	2.615	0.360	1.410	6.38e-64
AC006538.4	ENSG00000267001.1	1.940	0.000	1.556	1.52e-57
AC007009.1	ENSG00000244239.1	0.875	4.190	-1.469	2.49e-87
AC007192.6	ENSG00000269145.2	9.605	85.520	-3.028	1.19e-109
AC007229.3	ENSG00000267544.1	2.775	0.580	1.257	2.80e-196
AC007246.3	ENSG00000231312.6	10.580	25.950	-1.219	7.92e-70
AC007318.5	ENSG00000172974.11	10.825	3.750	1.316	6.16e-110
AC007383.3	ENSG00000227946.1	10.425	3.640	1.300	5.52e-159
AC007620.3	ENSG00000242539.2	16.220	2.060	2.493	1.09e-113
AC009005.2	ENSG00000267751.5	2.290	0.530	1.105	5.12e-66
AC009014.3	ENSG00000271824.1	0.415	1.960	-1.065	2.88e-28
